NO.,Name of health facility,Telephone number,Email Address,Street Address,Municipality,Expiry Date,Sector of health facility,Head of the facility,Region,Province
2737,Blancia Hospital,062-225-2302,blanciahospital@yahoo.com,"PUROK MAALAGARON. BLANCIA,",MOLAVE,31/12/2025,P,Dr. Ramcarl O. Blancia,REGION IX,ZAMBOANGA DEL SUR
2738,"Bp Diagnostic And Clinical 
Laboratory",062-3131402,bpdcl.080812@gmail.com/jennym arcos74@gmail.com,"RED CROSS COMPOUND RIZAL ST., NS
VALDEROSA ST,",ZAMBOANGA CITY,31/12/2025,P,Dr. Genevieve M. Lo,REGION IX,ZAMBOANGA DEL SUR
2741,"Servicecity Gov'T. Of Zamboanga / Cho - 
Ayala",062-984-0677,ayalahc2@gmail.com,"ZONE 5, AYALA,",ZAMBOANGA CITY,31/12/2025,G,Dr. Shiela Marie A. Tan-Ganih,REGION IX,ZAMBOANGA DEL SUR
2743,"City Gov'T. Of Zamboanga / Cho -
Canelar Health Center",062-9901033,canelar.philhealth@gmail.com,"CANELAR MORET, CANELAR,",ZAMBOANGA CITY,31/12/2025,G,Dr. Mary Grace G. Cañete-Viray,REGION IX,ZAMBOANGA DEL SUR
2754,"Talon Health Centercity Gov'T. Of Zamboanga / Cho - 
Tetuan",062-9553397,tetuanrhu@gmail.com,"BARUA ST., TETUAN,",ZAMBOANGA CITY,31/12/2025,G,Dr. Myra Sharon M. Francisco,REGION IX,ZAMBOANGA DEL SUR
2757,"Health Centercity Gov'T. Of Zamboanga / 
Zamboanga",062-991-3780,oficinadesalud.official@gmail.com,"PETTIT BARRACKS COMPOUND, RIZAL
STREET, ZONE IV,",ZAMBOANGA CITY,31/12/2025,G,Dr. Cathy F. Garcia,REGION IX,ZAMBOANGA DEL SUR
2768,Healthwell Medical Clinic,062-9559671,"healthwellmedicalclinic@gmail.co
m","MAYOR VITALIANO AGAN, NUÑEZ EXT.
CAMINO NUEVO,",ZAMBOANGA CITY,31/12/2025,P,Dr. Kibtiya A. Uddin,REGION IX,ZAMBOANGA DEL SUR
2771,"J. Cabahug General Hospital, Inc.",062-2153471,jcabahug_hospital@yahoo.com,"RIZAL AVENUE, SAN PEDRO DISTRICT,",PAGADIAN CITY,31/12/2025,P,Dr. Liz Corazon C. Parangan,REGION IX,ZAMBOANGA DEL SUR
2777,Labuan General Hospital,062-9820029,lphchd@yahoo.com,"PUROK 4, LABUAN,",ZAMBOANGA CITY,31/12/2025,G,Dr. Waldo M. Mandai,REGION IX,ZAMBOANGA DEL SUR
2778,Lagare Emergency Clinic,062-9453758,lagareemergency2013@gmail.com,"BURGOS CORNER OSMEÑA STREET,
POBLACION,",AURORA,31/12/2025,P,Dr. Ceriaco S. Lagare,REGION IX,ZAMBOANGA DEL SUR
2780,Manupac Doctor'S Healthcare,062-9250032,"manupacdoctorshospital@gmail.co
m","PUROK WAQAF, NATIONAL HIGHWAY,
NEW LABANGAN,",LABANGAN,31/12/2025,P,Dr. Mailyn O. Manupac,REGION IX,ZAMBOANGA DEL SUR
2785,Mindanao Central Sanitarium,062-9759533,reportsmcs@mcsgh.com.ph,"PASOBOLONG,",ZAMBOANGA CITY,31/12/2025,G,Dr. Hannah R. Turco,REGION IX,ZAMBOANGA DEL SUR
2788,Pagadian City Health Office,062-214-1966,chopagadian@gmail.com,"BENIGNO AQUINO ST., GATAS
DISTRICT,",PAGADIAN CITY,31/12/2025,G,Dr. Debbylene S. Tan-Ildefonso,REGION IX,ZAMBOANGA DEL SUR
2791,"Prime. Care. Zamboanga 
Medical Clinic",062-852-0270,PrimeCareZambo2023@gmail.com,"EDIFICIO YBT CST, MCLL HIGHWAY,
GUIWAN,",ZAMBOANGA CITY,31/12/2025,P,Dr. Delma T. Usman,REGION IX,ZAMBOANGA DEL SUR
2797,Salug Valley Medical Center,062-225-1427,svmc13@yahoo.com,"BURGOS STREET, MADASIGON,",MOLAVE,31/12/2025,P,Dr. Rolynn S. Igano,REGION IX,ZAMBOANGA DEL SUR
2807,West Metro Medical Center,062-991-2506,medicaldirector@westmetro.com.p h,"VETERANS AVENUE EXTENSION,
TETUAN,",ZAMBOANGA CITY,31/12/2025,P,Dr. Wilhelmina I. Hocson,REGION IX,ZAMBOANGA DEL SUR
2808,Zamboanga City Medical Center,062-9912934,doh9_zcmc@yahoo.com,"DR. EVANGELISTA STREET, STA.
CATALINA",ZAMBOANGA CITY,31/12/2025,G,Dr. Afdal B. Kunting,REGION IX,ZAMBOANGA DEL SUR
2809,"Zamboanga Del Sur Medical 
Center",(062),zdsmc@yahoo.com,"BARANGAY DAO,",PAGADIAN CITY,31/12/2025,G,"Dr. Anatalio E. Cagampang, Jr.",REGION IX,ZAMBOANGA DEL SUR
2810,"Zamboanga Puericulture 
Maternity",062-9910379,zpc144@gmail.com,"PURA BRILLANTES ST CORNER LA
PURISIMA ,ZONE II",ZAMBOANGA CITY,31/12/2025,P,Dr. Rodelin M. Agbulos,REGION IX,ZAMBOANGA DEL SUR
2811,Aj Diagnostic Laboratory,062-9576390,ajdiagnosticlabjai@gmail.com,"2/F PASALUBONG CENTER,
POBLACION,",IPIL,31/12/2025,P,Dr. Mary Joanne P. Buena,REGION IX,ZAMBOANGA SIBUGAYLYING-IN HOSPITAL
2821,Malangas Emergency Infirmary,062-9578401,malangasemergencyhospital@gmai l.com,"BRGY. CANDIIS,",MALANGAS,31/12/2025,G,Dr. Maria Lourdes Pitos-Sy,REGION IX,ZAMBOANGA SIBUGAYLYING-IN HOSPITAL
2828,"St. John General Hospital Of Buug, Inc.",062-9842607,st.johngeneralhospital@yahoo.com,"PUROK 13, NATIONAL HIGHWAY,
POBLACION,",BUUG,31/12/2025,P,Dr. Mabini M. Camas,REGION IX,ZAMBOANGA SIBUGAYLYING-IN HOSPITAL
2832,"Adventist Medical Center- 
Valencia",(088)8828-7777,info.amcv@adventisthealthvnc.com,"A. AGUILAR ST., POBLACION",VALENCIA,31/12/2025,P,Gladdays Casuga Napigkit,REGION X,BUKIDNON
2834,"Providerbukidnon Bethel Baptist Hospital, Inc.",888132708,bethelbaptisthospital@gmail.com,FORTICH ST. SUMPONG,MALAYBALAY,31/12/2025,P,Vincent Troy A. Del Mundo,REGION X,BUKIDNON
2859,"Providerbukidnon Valencia Cho 
Konsulta",8285138,"chovalenciacitybukidnon@gmail.co
m",POBLACION,VALENCIA,31/12/2025,G,"Escalante, Michael E. Md",REGION X,BUKIDNON
2877,"Balo-I Provincial Hospital 
Konsulta",632291139,baloiph2010@gmail.com,"NATIONAL HIGHWAY, POBLACION
EAST",BALO-I,31/12/2025,G,Sohainah D. Ismael,REGION X,LANAO DEL NORTE
2884,"Centeriligan City Konsulta Center - 
City Hall",632217646,chophilhealth@gmail.com,"BUHANGINAN HILLS, PALA-O",ILIGAN CITY,31/12/2025,G,"Grace R. Palafox, Md",REGION X,LANAO DEL NORTE
2897,"Lanao Del Norte Kauswagan 
Rhu",227-1029,rhukauswagan@gmail.com,"POBLACION, KAUSWAGAN, LANAO DEL
NORTE",KAUSWAGAN,31/12/2025,G,"Arthur Dale Y. Laguerta , Md",REGION X,LANAO DEL NORTE
2900,"Providerlanao Del Norte Linamon Rhu 
Konsulta",(063),rhulinamon@yahoo.com,PUROK 2B POBLACION,"LINAMON (TOMAS L.
CABILI)",31/12/2025,G,Dr. Gemma L. Deaño,REGION X,LANAO DEL NORTE
2902,"Lanao Del Norte Maigo Rhu 
Konsulta",632274236,rhumaigo@gmail.com,"PUROK 6, LABUAY",MAIGO,31/12/2025,G,"Dr. Uldarico F. Obregon, Jr.",REGION X,LANAO DEL NORTE
2915,Konsulta Providerrhu Bacolod Primary Care,632272954,rhubcolod.ldn@gmail.com,"PUROK 3, POBLACION",BACOLOD,31/12/2025,G,"Teresa M. Reponte, Md",REGION X,LANAO DEL NORTE
2925,Clarin Rural Health Unit,885215170,clarinrhu.misocc@gmail.com,"RIZAL STREET, POBLACION 1",CLARIN,31/12/2025,G,Dr. Niño Ceferino D. Revelo Ii,REGION X,MISAMIS OCCIDENTAL 
2928,"Doña Maria D. Tan Memorial 
Hospital",(088),dmdtmh_mantic@yahoo.com,FERTIG STREET  MANTIC,TANGUB CITY,31/12/2025,G,Dr. Ralph Thaddeus A. Pineda,REGION X,MISAMIS OCCIDENTAL 
2930,"Jimenez Medicare Community 
Hospital",(088)5451543,jmcho59@gmail.com,"GOMEZ STREEET, NACIONAL",JIMENEZ,31/12/2025,G,Dr. Ellen P. Aseniero,REGION X,MISAMIS OCCIDENTAL 
2931,"Konsulta Providerjp Solon Family General 
Hospital, Inc.",885451290,"st.augustinehospital2015@gmail.co
m",P5 LAO PROPER,PLARIDEL,31/12/2025,P,"Juliet P. Solon, Md",REGION X,MISAMIS OCCIDENTAL 
2932,"Mayor Hilarion A. Ramiro Sr. 
Medical",088-5210440,mharsmc@mharsmc.doh.gov.ph,MANINGCOL,OZAMIS CITY,31/12/2025,G,"Dr. Jesus Martin S. Sanciangco
Iii",REGION X,MISAMIS OCCIDENTAL 
2935,"Misamis Occidental Jimenez Rhu
Konsulta Provider",885450129,rhujimenez@yahoo.com,CALDERON ST. STA CRUZ,JIMENEZ,31/12/2025,G,"Carolyn Q. Galleros, Md",REGION X,MISAMIS OCCIDENTAL 
2936,"Misamis Occidental Sapang 
Dalaga Rhu",088-5209699,rhu_sapangdalaga@yahoo.com,POBLACION,SAPANG DALAGA,31/12/2025,G,Dr. Camille E. De Guzman,REGION X,MISAMIS OCCIDENTAL 
2937,"Konsulta Providermisamis Occidental Tudela Rhu
Konsulta Provider",5451087,rhutudela@gmail.com,PUROK 3 CENTRO NAPU,TUDELA,31/12/2025,G,Dr. Al-Fairylyn D. Villa,REGION X,MISAMIS OCCIDENTAL 
2938,"Moph-Oroquieta Konsulta 
Provider",5312243,"moph_misamisoccidental@gmail.c
om",LOWER LANGCANGAN OROQUIETA,OROQUIETA CITY,31/12/2025,G,Dr. Marilyn C. Dumalagan,REGION X,MISAMIS OCCIDENTAL 
2942,Oroquieta City Health Office,885311094,cho.oroquieta@yahoo.com,"INDEPENDENCE ST., POBLACION II",OROQUIETA CITY,31/12/2025,G,Dr. Al Joseph J. Guantero,REGION X,MISAMIS OCCIDENTAL 
2943,"Ozamiz City St. Joseph General 
Hospital -",885211726,sjghozamis@yahoo.com,"WASHINGTON STREET, 50TH
BARANGAY",OZAMIS CITY,31/12/2025,P,Dr. Jose Jamuel S. Marave,REGION X,MISAMIS OCCIDENTAL 
2951,"Tan Ho Medical Clinic - 
Konsulta",885210103,tanhomediclinic@yahoo.com,"PUROK 6 VALLEJO ST. SOUTHERN
POBLACION",PLARIDEL,31/12/2025,P,Dr. Marigold M. Bandolon,REGION X,MISAMIS OCCIDENTAL 
2952,"Providertudela Municipal Hospital 
Konsulta",885450385,"tudelamunicipalhospital@gmail.co
m",CENTRO NAPU,TUDELA,31/12/2025,G,Dr. Janice Castolo Biete,REGION X,MISAMIS OCCIDENTAL 
2957,"Capitol University Medical 
Center",881-8139,medical.director@cumc.com.ph,CUMC BLDG.,CAGAYAN DE ORO CITY,31/12/2025,P,"Dr. Natasha Beja Emano-
Elazegui",REGION X,MISAMIS ORIENTALPROVIDER
2981,Providerlibertad Rural Health Unit,885671947,libertadrhu@gmail.com,"PUROK 3, POBLACION,",LIBERTAD,31/12/2025,G,Dr. Lyndon B. Beltran,REGION X,MISAMIS ORIENTALPROVIDER
2982,"Liceo De Cagayan University -
Philhealth Konsulta",088-8584093,edelossantos@liceo.edu.ph,"RNP BOULEVARD, KAUSWAGAN",CAGAYAN DE ORO CITY,31/12/2025,P,Dr. Jose Dante D. Estandarte,REGION X,MISAMIS ORIENTALPROVIDER
2990,"Providermisamis Oriental Laguindingan 
Rhu",088-9589538,mho1laguindingan@gmail.com,ZONE 10 POBLACION,LAGUINDINGAN,31/12/2025,G,Dr. Zellyn O. Denampo,REGION X,MISAMIS ORIENTALPROVIDER
2991,"Konsulta Providermisamis Oriental Lugait Rhu 
Konsulta",632251737,lugaitmaternity@gmail.com,"PUROK MASILAKONJ 1, POBLACION",LUGAIT,31/12/2025,G,Dr. Jarlim L. Jarales,REGION X,MISAMIS ORIENTALPROVIDER
2997,"Initao Konsultamisamis Oriental Provincial 
Hospital -",885551911,manticaomisorph@gmail.com,BARANGAY POBLACION,MANTICAO,31/12/2025,G,"Dr/ Pilardo A. Ledesma, Jr.",REGION X,MISAMIS ORIENTALPROVIDER
3001,"Misamis Oriental Rhu 
Balingasag",(088),rhubalingasag@yahoo.com,"OLD ROAD, BRGY. WATERFALL",BALINGASAG,31/12/2025,G,"Dr. Maria Helen Macarayan
Romualdo",REGION X,MISAMIS ORIENTALPROVIDER
3006,"Nmmc Out-Patient Department
Konsulta Provider",8822726262,josechan592000@gmail.com,CAPITOL COMPOUND,CAGAYAN DE ORO CITY,31/12/2025,G,Dr. Jose C. Chan,REGION X,MISAMIS ORIENTALPROVIDER
3016,Ustp-Cdo Medical Clinic,888561738,vcmahp@ustp.edu.ph,"1ST FLR UNIVERSITY HEALTH CENTER,
CM RECTO AVE,",CAGAYAN DE ORO CITY,31/12/2025,G,"Dr. Mitchel Dennis Beatty
Gonzalez",REGION X,MISAMIS ORIENTALPROVIDER
3017,Vitalab Healthcare Inc.,838874546,vitalab_healthcare@yahoo.com,"DOOR 3, ATC BLDG., LUNA-VELEZ
STREET",CAGAYAN DE ORO CITY,31/12/2025,P,Dr. Gerard L. Lamayra,REGION X,MISAMIS ORIENTALPROVIDER
3022,"Maragusandavao De Oro Provincial 
Hospital - Montevista",087,cvphcvph@yahoo.com/ddoph.mon tevista@davaodeoro.gov.ph,"P-2 BANKEROHAN SUR,",MONTEVISTA,31/12/2025,G,"Ferdinand Anthony C. Soberano, Md",REGION XI,DAVAO DE ORO
3029,Rhu Maco,(084),rhumaco@yahoo.com.ph,"PUROK MABUHAY, BINUANGAN,",MACO,31/12/2025,G,"Alvera Veronica R. Rimando-
Arancon, Md",REGION XI,DAVAO DE ORO
3040,Maternity Hospitalcity Health Office Of Tagum,(84),cityhealthofficetagum@gmail.com,"MABINI ST. COR PUNZALAN ST.
MAGUGPO SOUTH,",TAGUM,31/12/2025,G,"Arnel R. Florendo, Md",REGION XI,DAVAO DEL NORTE
3043,"Zonedavao Del Norte Hospital-
Igacos Zone",2929715409,ddnhigacoszone@gmail.com,"DATU TAGANIOG ST.,  PEÑAPLATA,",SAMAL,31/12/2025,G,"Catherine M. Valera, Md",REGION XI,DAVAO DEL NORTE
3044,Davao Regional Medical Center,(084),mcc@drmc.doh.gov.ph / drmcfinance@gmail.com,"PUROK 4, APOKON",TAGUM,31/12/2026,G,"Bryan O. Dalid, Md",REGION XI,DAVAO DEL NORTE
3045,"Emilio B. Rivera Primary Care 
Centers",084,ebr.pcf@gmail.com,"PUROK 6B, BARANGAY SAN FRANCISCO",PANABO,31/12/2025,P,"Christian Ezekiel R. Derla, Md",REGION XI,DAVAO DEL NORTE
3046,"Inc.Emilio B. Rivera Primary Care 
Centers,",(084),emiliobrivera2022@gmail.com,FEEDER ROAD 2 TIBAL - OG,STO. TOMAS,31/12/2025,P,"Eric Jake C. Lim, Md",REGION XI,DAVAO DEL NORTE
3047,"Inc.Good Shepherd Hospital Of 
Panabo",309-3536,goodshepherd.panabo@gmail.com,"KM 31 NATIONAL HIGHWAY, NEW
PANDAN,",PANABO,31/12/2025,P,"Inocencia M. Macrohon, Md
Fpogs, Maha",REGION XI,DAVAO DEL NORTE
3048,"City, Inc.Kapalong Municipal Health 
Office",807-0006,kapalongmho@gmail.com,"QUEZON ST., MANIKI,",KAPALONG,31/12/2025,G,"Louelyn H. Exala, Md",REGION XI,DAVAO DEL NORTE
3050,"Matutes Medical Clinic And 
Hospital",(084),matuteshospital@yahoo.com.ph,FD.FR #2 RAMON MAGSAYSAY AVE.,STO. TOMAS,31/12/2027,P,"Wilfredo S. Matutes, Md",REGION XI,DAVAO DEL NORTE
3053,Panabo City Health Office,084,cityhealthofpanabo@gmail.com,"QUEZON ST., BARANGAY NEW
PANDAN,",PANABO,31/12/2027,G,"Eranie L. Pangilinan, Md",REGION XI,DAVAO DEL NORTE
3054,"Panabo Polymedic Hospital, Inc.",084,"panabopolymedic2002@yahoo.co
m","QUIRINO ST.,",PANABO,31/12/2025,P,"Edgar B. Te, Md",REGION XI,DAVAO DEL NORTE
3055,"Rivera Medical Center, Inc.",(84),info@rmci.com.ph,"7302 SAN FRANCISCO,",PANABO,31/12/2025,P,"Zenaida Rosario Rivera, Md",REGION XI,DAVAO DEL NORTE
3056,Rural Health Unit Santo Tomas,084,mhostotomas@gmail.com,"FEEDER ROAD 3, TIBAL-OG,",STO. TOMAS,31/12/2025,G,"June P. Lim, Md",REGION XI,DAVAO DEL NORTE
3059,"Adventist Hospital - Davao, Inc.",297-2597298-1692,admin@adventisthealth-dvo.com,"KM 7 MC ARTHUR HIGHWAY BANGKAL
BRGY TALOMO",DAVAO CITY,31/12/2027,P,"Kenneth T. Tandug, Md",REGION XI,DAVAO DEL SUR
3060,Allcare Medical Inc.,(082),"ALLCAREMEDICALINC@GMAIL.CO
M","#36 QUIMPO BLVD STE 3 ECOLAND
TALOMO DISTRICT BUCA",DAVAO CITY,31/12/2025,P,"Billie Airish D. Baula, Md",REGION XI,DAVAO DEL SUR
3061,"Alterado General Hospital, Inc.",(82),alterado_generalhospital@yahoo.c om.ph,"P. VILLANUEVA ST. COR. R. CASTILLO, BRGY. 
GOV. V. DUTERTE, AGDAO",DAVAO CITY,31/12/2025,P,"Abe Jun R. Versoza, Md",REGION XI,DAVAO DEL SUR
3062,"Anda Riverview Medical Center, Inc.",(82),armci.hospital@gmail.com,"BRGY. 2A, MAGALLANES ST.,",DAVAO CITY,31/12/2025,P,"Jeanie E. Himagan, Md",REGION XI,DAVAO DEL SUR
3064,"Buhangin Medical Clinic And
Diagnostic Center",285-4324,buhanginclinic@gmail.com,"DOOR 2, GIMENES BLDG. KM.5,
BUHANGIN",DAVAO CITY,31/12/2026,P,"Victorio C. Angus, Jr., Md",REGION XI,DAVAO DEL SUR
3065,Camp Panacan Station Hospital,(82),cpsh_emcafp@yahoo.com.ph,"NAVAL STATION FELIX APOLINARIO,
PANACAN,",DAVAO CITY,31/12/2025,G,Maj Victor Salvador C. Dato,REGION XI,DAVAO DEL SUR
3067,"Centeno Medical Specialists 
Hospital,",(082),cmshi_07@yahoo.com,"R. DELOS CIENTOS ST., POBLACION
UNO,",BANSALAN,31/12/2025,P,"Edwin Y. Mudanza, Md",REGION XI,DAVAO DEL SUR
3068,"Inc.Center For Ambulatory Surgery 
And Total Medical Care Of 
Davao (Cast-Md)",(82),castmd.asu2020@gmail.com,"UNIT 1&2-A BAJADA PLAZA BLDG. BRGY 
PACIANO BANGOY,",DAVAO CITY,31/12/2025,P,"Dave A. Maniwang, Md",REGION XI,DAVAO DEL SUR
3069,"Central Lab Diabetes Wellness 
Heart",(082),centrallab2010@yahoo.com,"CENTRAL LAB TOWER QUIRINO AVE.
BRGY 10-A,",DAVAO CITY,31/12/2025,P,"Irene A. Villa-Abrille, Md",REGION XI,DAVAO DEL SUR
3070,"And Kidneys Ventures, Inc.City Government Of Davao - 
Agdao",(82),agdaohealthcenter@gmail.com,"COR BANGOY AND LAPU-LAPU STS.,
AGDAO,",DAVAO CITY,31/12/2025,G,"Sherrie Amor N. Campaner, Md",REGION XI,DAVAO DEL SUR
3072,"(City Government Of Davao - El Main)
Rio",(82),bdistrict20@gmail.com,"GLORIOSA ST., PHASE 4B, EL RIO,",DAVAO CITY,31/12/2025,G,"Geraldine T. Ledesma, Md",REGION XI,DAVAO DEL SUR
3073,"Health Center (District B)City Government Of Davao - 
Marilog",(82),"marilogdistricthospital2020@gmail.
com","LOWER KIBALANG, BRGY. MARILOG,
MARILOG DISTRICT,",DAVAO CITY,31/12/2025,G,"Evelyno A. Buenaventura, Md",REGION XI,DAVAO DEL SUR
3074,"District Hospitalcity Government Of Davao - 
Mini Forest",NONE,districtc2020@gmail.com,"QUEZON BLVD, BRGY. 23,",DAVAO CITY,31/12/2025,G,"Sharlene A. Tan, Md",REGION XI,DAVAO DEL SUR
3075,"Health Centercity Government Of Davao - 
Mintal",NONE,tugbokruralhealthunit@gmail.com,"GUMAMELA ST., BRGY. MINTAL, TUGBOK DISTRICT.",DAVAO CITY,31/12/2025,G,"Laredo P. Rabang, Md",REGION XI,DAVAO DEL SUR
3077,"City Government Of Davao - 
Tomas",224-3769,tomasclaudiohc.davao@gmail.com,"CORNER QUIRINO AVENUE CAMUS ST
EXT,",DAVAO CITY,31/12/2025,G,"Ma. Vilma V. Gonzaga, Md",REGION XI,DAVAO DEL SUR
3078,"Claudio Health Centercity Government Of Davao - 
Toril",296-4578,torilhealth@yahoo.com,"AGTON ST., TORIL,",DAVAO CITY,31/12/2025,G,"Pauline Angela S. Rosales, Md",REGION XI,DAVAO DEL SUR
3079,"Health Center - Acity Government Of Davao - 
Toril Urban Health Center -",296-4578,chotoril.b@gmail.com,"DELA CRUZ ST FRONTING MAGSAYSAY ELEM 
SCHOOL DALIAO,",DAVAO CITY,31/12/2025,G,"Titus Theodore B. Antonio, Md",REGION XI,DAVAO DEL SUR
3080,"City Government Of Davao-
Baguio",NONE,"baguiodistricthealthcenter@gmail.c
om","BAGUIO DISTRICT,",DAVAO CITY,31/12/2025,G,"Maribel T. Camelotes, Md",REGION XI,DAVAO DEL SUR
3081,"District Health Centercity Government Of Davao-
Buhangin",NONE,buhanginhealthdistrict@gmail.com,"NHA SUBDIVISION, BUHANGIN
DISTRICT,",DAVAO CITY,31/12/2025,G,"Tifanny Jan D. Atega, Md",REGION XI,DAVAO DEL SUR
3082,"Health Centercity Government Of Davao-
Bunawan",NONE,bunawandistrict2020@gmail.com,"BUNAWAN PROPER, BUNAWAN
DISTRICT,",DAVAO CITY,31/12/2025,G,"Maria Thelma P. Villaluna, Md",REGION XI,DAVAO DEL SUR
3083,"Health Centercity Government Of Davao-
Calinan",82-2988002,"calinanruralhealthcenter@gmail.co
m","PUROK 34 AURORA ST., CALINAN,",DAVAO CITY,31/12/2025,G,"Jojit A. Marbas, Ms",REGION XI,DAVAO DEL SUR
3084,"Health Centercity Government Of Davao-
Jacinto",225-0225,healthcenterjacinto@gmail.com,"JACINTO ST.,",DAVAO CITY,31/12/2025,G,"Ritze H. Burgos, Md",REGION XI,DAVAO DEL SUR
3085,"Health Centercity Government Of Davao-
Marilog",NONE,marilogdistrict.hrh@gmail.com,"SITIO MARAHAN, BRGY. MARILOG
PROPER, MARILOG DIST.,",DAVAO CITY,31/12/2025,G,"Gerwin Emmanuel V. Butiong,
Md",REGION XI,DAVAO DEL SUR
3087,"District Hospitalcity Government Of Davao-
Paquibato",none,paquibato.district.health.office@g mail.com,"MALABOG,",DAVAO CITY,31/12/2025,G,"Luis Jose V. Presbitero, Md",REGION XI,DAVAO DEL SUR
3088,"Main Health Centercity Government Of Davao-Sasa 
Health",NONE,sasa2021@gmail.com,"KM 9, SASA,",DAVAO CITY,31/12/2025,G,"Michelle Maville B. Schlosser,
Md",REGION XI,DAVAO DEL SUR
3089,"Centercity Government Of Davao-Sir 
Health",none,northtalomo2019@gmail.com,"BRGY. 76-A BUCANA,",DAVAO CITY,31/12/2025,G,"Joy Lariosa Espina, Md",REGION XI,DAVAO DEL SUR
3090,"Center (Talomo North)City Government Of Davao-
Talomo South (Puan) Health 
Center",none,talomo.south@gmail.com,"LIBBY RD., TALOMO DIST., PUAN,",DAVAO CITY,31/12/2025,G,"Kara Marcella G. Barro, Md",REGION XI,DAVAO DEL SUR
3091,"Davao Medical School Foundation, Inc.",227-9330,dmsfhospital@gmail.com,"DR. A. GAHOL AVENUE BRGY 19-B
BAJADA",DAVAO CITY,31/12/2025,P,"Maria Theresa L. Carin, Md",REGION XI,DAVAO DEL SUR
3092,"Davao Mediquest Hospital, Inc.",082,dmhi_hospital@yahoo.com,"MAC ARTHUR HIGHWAY, BARANGAY
LIZADA, TORIL,",DAVAO CITY,31/12/2025,P,"Ricardo P. Reyes, Jr., Md",REGION XI,DAVAO DEL SUR
3093,Digos City Health Office,(082),digoscityhealthoffice@gmail.com,"JOSE ABAD SANTOS STREET, BRGY.
ZONE 3",DIGOS,31/12/2025,G,"Ronald B. Jumilla, Md",REGION XI,DAVAO DEL SUR
3094,"Digos Doctors' Hospital, Inc.",(82),digosdoctorshospital@yahoo.com,"MC ARTHUR HIGHWAY, KIAGOT",DIGOS,31/12/2025,P,"Rodrigo P. Navarro, Md",REGION XI,DAVAO DEL SUR
3096,"Ecoland Medical And Wellness 
Center,",082,ecomedhospital@gmail.com,"QUIMPO BLVD. CORNER TULIP DRIVE
BUCANA",DAVAO CITY,31/12/2027,P,"Ricardo Victor De Vera Pascua,
Jr., Md",REGION XI,DAVAO DEL SUR
3097,"Inc.Ernesto Guadalupe Community
Hospital",(82),egch.levelone@gmail.com,"JASMIN ST., SAN NICOLAS, DALIAO,
TORIL,",DAVAO CITY,31/12/2025,P,"Ernesto S. Guadalupe, Jr., Md",REGION XI,DAVAO DEL SUR
3098,"Gonzales Maranan Medical 
Center Inc. -",082,gmmcisat@yahoo.com,"CAMPO 10 GUIHING,",HAGONOY,31/12/2025,P,"Emma Rosario Gonzales-
Lutero, Md",REGION XI,DAVAO DEL SUR
3099,"Guihing Satellitegonzales Maranan Medical 
Center, Inc",5532474,gmmc_inc@yahoo.com,"QUEZON AVENUE,",DIGOS,31/12/2025,P,"Manuel K. Gonzales, Md",REGION XI,DAVAO DEL SUR
3103,"Lpa Ambulatory Surgery And Diagnostic Center, Inc.",082,clpaambulatory@yahoo.com,"NO. 53 ARELLANO ST., BRGY 10-A,",DAVAO CITY,31/12/2025,P,"Luz P. Acosta, Md",REGION XI,DAVAO DEL SUR
3107,"Malta Medical Center, Inc.",(082),maltamedicalcenter@yahoo.com,"MALTA MEDICAL BLDG. KM 14
MCARHTUR HIGHWAY TORIL",DAVAO CITY,31/12/2025,P,"Warner C. Camarao, Md",REGION XI,DAVAO DEL SUR
3108,"Marpe' Medical Clinic And 
Hospital, Inc",(82),marpemed@yahoo.com,"APO BEACH, ZONE III,",STA. CRUZ,31/12/2025,P,"Tamara Joy B. Martel, Md",REGION XI,DAVAO DEL SUR
3110,"Medical Center Of Digos 
Cooperative",(082),mcdchospital@gmail.com,"NATIONAL HIGHWAY, TRES DE MAYO",DIGOS,31/12/2026,P,"Elizabeth B. Vosotros, Md",REGION XI,DAVAO DEL SUR
3111,"Medisense Laboratory Center, Inc.",(082),msldavao.oic@gmail.com,"NO. 156 CARMEN LOCSIN BLDG., C.M. RECTO ST., POB.",DAVAO CITY,31/12/2026,P,"Rachel Liwliwa P. Esquivel, Md",REGION XI,DAVAO DEL SUR
3116,Rural Health Unit Of Kiblawan,none,rhukiblawan@gmail.com,"MAGSAYSAY ST., POBLACION,",KIBLAWAN,31/12/2025,G,"John Rainer P. Solis, Md",REGION XI,DAVAO DEL SUR
3117,Rural Health Unit Of Matanao,(082),rhu.matanao@gmail.com,"PUROK TAHIMIK, POBLACION",MATANAO,31/12/2025,G,"Patricia Seno-Ornales, Md",REGION XI,DAVAO DEL SUR
3119,"South Davao Medical 
Specialists'",(82),sdmsh_i@yahoo.com,"SOUTHERN PALIGUE,",PADADA,31/12/2026,P,"Vincent Alexes A. Paden, Md",REGION XI,DAVAO DEL SUR
3120,"Hospital, Inc.Southern Philippines Medical 
Center",(82),coh.spmc@gmail.com,"J.P. LAUREL AVE., BAJADA,",DAVAO CITY,31/12/2026,G,"Ricardo B. Audan, Md, Fpafp",REGION XI,DAVAO DEL SUR
